aac-	aacA16.NG_052380.1	aac_6___Iaf.NG_047278.1	aac_6___Ip.NG_047307.2	aac_6___Iq.NG_047308.1
aac-_1	aacA57_2.NG_052083.1	aac_6___Ian.NG_047282.1	aac_6___Ian.NG_052170.1
aac-_2	aacA32.NG_052208.1	aac_6___32.NG_047266.1
aac-_3	aacA8.NG_052107.1	aac_6___31.NG_047265.1	aac_6___31.NG_052210.1	aac_6___31.NG_052214.1
aacA10	aacA10.NG_052119.1
aacA34	aacA34.NG_047319.1	aacA34.NG_052286.1
aacA35	aacA35.NG_047269.1
aacA37	aacA37.NG_047320.1
aacA38	aacA38.NG_052056.1
aacA40	aacA40.NG_047271.1
aacA43	aacA43.NG_047321.1	aacA43.NG_052295.1	aacA43.NG_052508.1
aacA47	aacA47.NG_052259.1
aacA48	aacA48.NG_052025.1
aacA49	aacA49.NG_052026.1
aacA56	aacA56.NG_051492.1
aac_2___IIa	aac_2___IIa.NG_047225.1
aac_2___IIb	aac_2___IIb.NG_055672.1
aac_2___Ia	aac_2___Ia.NG_047226.1
aac_2___Ib	aac_2___Ib.NG_047227.1
aac_2___Ic	aac_2___Ic.NG_047229.1
aac_2___Id	aac_2___Id.NG_047230.1
aac_2___Ie	aac_2___Ie.NG_050581.1
aac_3__I	aac_3__I.NG_047240.1
aac_3__I-	aac_3__I.NG_047235.1	aac_3__I.NG_047237.1	aac_3__Ia.NG_047232.1	aac_3__Ia.NG_047233.1	aac_3__Ia.NG_047234.1	aac_3__Ia.NG_047236.1	aac_3__Ia.NG_047238.1	aac_3__Ia.NG_047239.1	aac_3__Ia.NG_056001.1
aac_3__II-	aac_3__IIa.NG_047245.1	aac_3__IIc.NG_047250.1	aac_3__IId.NG_047246.1	aac_3__IId.NG_047251.1	aac_3__IIe.NG_047244.1	aac_3__IIe.NG_047247.1	aac_3__IIe.NG_047248.1	aac_3__IIe.NG_047252.1
aac_3__IIIa	aac_3__IIIa.NG_047241.1
aac_3__IIIb	aac_3__IIIb.NG_051746.1
aac_3__IIIc	aac_3__IIIc.NG_047243.1
aac_3__IIb	aac_3__IIb.NG_047249.1
aac_3__IIg	aac_3__IIg.NG_047231.1
aac_3__IVa	aac_3__IVa.NG_047253.1
aac_3__IVb	aac_3__IVb.NG_070718.1
aac_3__IXa	aac_3__IXa.NG_047255.1
aac_3__Ib-	aac_3__Ib.NG_047257.1	aac_3__Ib.NG_067945.1	aac_3__Ib_aac_6___Ib__.NG_047210.1
aac_3__Ic	aac_3__Ic.NG_048568.1
aac_3__Id	aac_3__Id.NG_048569.1	aac_3__Id.NG_052489.1
aac_3__If	aac_3__If.NG_048570.1	aac_3__If.NG_052479.1
aac_3__Ig	aac_3__Ig.NG_048571.1
aac_3__Ih	aac_3__Ih.NG_048572.1
aac_3__Ii	aac_3__Ii.NG_048573.1
aac_3__VIII	aac_3__VIII.NG_047260.1
aac_3__VIII-	aac_3__VIII.NG_047258.1	aac_3__VIII.NG_047259.1	aac_3__VIIIa.NG_048574.1
aac_3__VIIa	aac_3__VIIa.NG_047261.1
aac_3__VIa	aac_3__VIa.NG_047262.1	aac_3__VIa.NG_052583.3
aac_3__XI	aac_3__XI.NG_050595.1
aac_3__Xa	aac_3__Xa.NG_047263.1
aac_6__	aac_6__.NG_052139.1
aac_6__-	aac_6__.NG_052178.1	aac_6__.NG_052187.1	aac_6__.NG_052190.1	aac_6__.NG_052191.1	aac_6__.NG_052192.1	aac_6__.NG_052193.1	aac_6__.NG_052194.1	aac_6__.NG_052195.1	aac_6__.NG_052196.1	aac_6__.NG_052209.1	aac_6__.NG_052263.1	aac_6__.NG_052284.1	aac_6__.NG_052292.1	aac_6__.NG_052297.1	aac_6__.NG_052336.1	aac_6__.NG_052345.1	aac_6__.NG_052346.1	aac_6__.NG_052347.1	aac_6__.NG_052389.1	aac_6__.NG_052415.1	aac_6__.NG_052419.1	aac_6__.NG_052420.1	aac_6__.NG_052427.1	aac_6__.NG_052448.1	aac_6__.NG_052449.1	aac_6__.NG_052450.1	aac_6__.NG_052451.1	aac_6__.NG_052466.1	aac_6__.NG_052467.1	aac_6__.NG_052468.1	aac_6__.NG_052471.1	aac_6__.NG_052472.1	aac_6__.NG_054690.1	aac_6___Ial.NG_047281.1	aac_6___Ic.NG_047294.1
aac_6___-	aac_6___33.NG_047267.1	aac_6___I30.NG_047268.1
aac_6___1	aac_6__.NG_054688.1
aac_6___10	aac_6__.NG_052464.1
aac_6___11	aac_6__.NG_054689.1
aac_6___12	aac_6__.NG_052189.1
aac_6___13	aac_6__.NG_052204.1
aac_6___14	aac_6__.NG_052198.1	aac_6__.NG_052199.1	aac_6__.NG_052200.1	aac_6__.NG_052201.1	aac_6__.NG_052265.1
aac_6___15	aac_6__.NG_052294.1
aac_6___16	aac_6__.NG_052175.1
aac_6___17	aac_6__.NG_052221.1
aac_6___18	aac_6__.NG_052254.1
aac_6___19	aac_6__.NG_052301.1
aac_6___2	aac_6__.NG_052293.1
aac_6___20	aac_6__.NG_052423.1
aac_6___21	aac_6__.NG_052534.1
aac_6___22	aac_6__.NG_052300.1
aac_6___29-	aac_6___29.NG_052220.1	aac_6___29a.NG_048575.1	aac_6___29b.NG_048576.1
aac_6___3	aac_6__.NG_052445.1
aac_6___30-	aac_6___30.NG_051559.1	aac_6___30_aac_6___Ib_.NG_047213.1
aac_6___35	aac_6___35.NG_063816.1
aac_6___4	aac_6__.NG_052138.1	aac_6__.NG_052413.1	aac_6__.NG_052425.1	aac_6__.NG_052459.1	aac_6__.NG_052469.1	aac_6__.NG_052532.1	aac_6__.NG_054655.1
aac_6___5	aac_6__.NG_052157.1	aac_6__.NG_052533.1
aac_6___6	aac_6__.NG_052205.1	aac_6__.NG_052206.1	aac_6__.NG_052342.1
aac_6___7	aac_6__.NG_052341.1
aac_6___8	aac_6__.NG_052428.1
aac_6___9	aac_6__.NG_052429.1
aac_6___I	aac_6___I.NG_052397.1
aac_6___I-	aac_6___I.NG_052166.1	aac_6___I.NG_052396.1	aac_6___I.NG_052401.1	aac_6___I.NG_052529.1	aac_6___Is.NG_047310.1	aac_6___Iu.NG_047313.1	aac_6___Ix.NG_047316.1
aac_6___I-_1	aac_6___I.NG_052216.1	aac_6___Ih.NG_047297.1	aac_6___It.NG_047312.1	aac_6___Iv.NG_047314.1
aac_6___I-_2	aac_6___I.NG_052258.1	aac_6___I.NG_052395.1	aac_6___I.NG_052421.1	aac_6___I.NG_052457.1	aac_6___I.NG_052458.1	aac_6___I.NG_052526.1	aac_6___I.NG_052528.1	aac_6___I.NG_052531.1	aac_6___Ir.NG_047309.1
aac_6___I-_3	aac_6___I.NG_052399.1	aac_6___Iw.NG_047315.1
aac_6___I-_4	aac_6___I.NG_052525.1	aac_6___I.NG_052527.1	aac_6___Ij.NG_047301.1
aac_6___I-_5	aac_6___I.NG_052255.1	aac_6___I.NG_052398.1	aac_6___I.NG_052523.1	aac_6___Ig.NG_047296.1
aac_6___I-_6	aac_6___I.NG_052394.1	aac_6___I.NG_052400.1	aac_6___Ik.NG_047302.1
aac_6___I-_7	aac_6___I.NG_052168.1	aac_6___Iih.NG_047300.1
aac_6___I-_8	aac_6___I.NG_052140.1	aac_6___I.NG_052159.1	aac_6___I.NG_052160.1	aac_6___I.NG_052161.1	aac_6___I.NG_052260.1	aac_6___I.NG_052261.1	aac_6___I.NG_052275.1	aac_6___I.NG_052285.1	aac_6___I.NG_052290.1	aac_6___I.NG_052371.1	aac_6___I.NG_052447.1	aac_6___I.NG_052465.1	aac_6___Ii.NG_047298.1
aac_6___I-_9	aac_6___I.NG_052207.1	aac_6___I.NG_052281.1	aac_6___I.NG_052337.1	aac_6___Iid.NG_047299.1
aac_6___III	aac_6___III.NG_068501.1	aac_6___III.NG_068502.1
aac_6___III_1	aac_6___III.NG_068500.1
aac_6___IIa+	aac_6___IIa.NG_047270.1	aac_6___IIa.NG_052142.1	aac_6___IIa.NG_052505.1	aadA16.NG_047339.1	aadA16.NG_047340.1	ant_3____Ij_aac_6___IIa.NG_051910.1
aac_6___IIb	aac_6___IIb.NG_047272.1
aac_6___IIc	aac_6___IIc.NG_047273.1	aac_6___IIc.NG_052462.1
aac_6___I_1	aac_6___I.NG_052163.1
aac_6___I_2	aac_6___I.NG_052165.1
aac_6___I_3	aac_6___I.NG_052169.1
aac_6___I_4	aac_6___I.NG_052188.1
aac_6___I_5	aac_6___I.NG_052291.1
aac_6___I_6	aac_6___I.NG_052162.1	aac_6___I.NG_052177.1	aac_6___I.NG_052446.1	aac_6___I.NG_052504.1
aac_6___I_7	aac_6___I.NG_052164.1
aac_6___Ia	aac_6___Ia.NG_047275.1	aac_6___Ia.NG_051679.1	aac_6___Ia.NG_052217.1
aac_6___Iad	aac_6___Iad.NG_047276.1
aac_6___Iae	aac_6___Iae.NG_047277.1
aac_6___Iai	aac_6___Iai.NG_047279.1
aac_6___Iaj	aac_6___Iaj.NG_051491.1
aac_6___Iak	aac_6___Iak.NG_047280.1	aac_6___Iak.NG_052197.1	aac_6___Iak.NG_052202.1	aac_6___Iak.NG_052203.1	aac_6___Iak.NG_052391.1
aac_6___Ib+	aac_6___Ib.NG_047284.1	aac_6___Ib.NG_047285.1	aac_6___Ib.NG_047286.1	aac_6___Ib.NG_047288.1	aac_6___Ib.NG_047289.1	aac_6___Ib.NG_047291.1	aac_6___Ib.NG_051697.1	aac_6___Ib.NG_052024.1	aac_6___Ib.NG_052057.1	aac_6___Ib.NG_052059.1	aac_6___Ib.NG_052063.1	aac_6___Ib.NG_052181.1	aac_6___Ib.NG_052182.1	aac_6___Ib.NG_052219.1	aac_6___Ib.NG_052262.1	aac_6___Ib.NG_052274.1	aac_6___Ib.NG_052283.1	aac_6___Ib.NG_052303.1	aac_6___Ib.NG_052328.1	aac_6___Ib.NG_052349.1	aac_6___Ib.NG_052358.1	aac_6___Ib.NG_052361.1	aac_6___Ib.NG_052414.1	aac_6___Ib.NG_052418.1	aac_6___Ib.NG_052481.1	aac_6___Ib.NG_052503.1	aac_6___Ib.NG_052517.1	aac_6___Ib.NG_052520.1	aac_6___Ib.NG_052535.1	aac_6___Ib.NG_052628.1	aac_6___Ib.NG_056043.1	aac_6___Ib.NG_065404.1	aac_6___Ib.NG_067946.1	aac_6___Ib.NG_067947.1	aac_6___Ib.NG_067948.1	aac_6___Ib.NG_067949.1	aac_6___Ib.NG_067950.1	aac_6___Ib.NG_067951.1	aac_6___Ib.NG_067952.1	aac_6___Ib.NG_067953.1	aac_6___Ib.NG_067954.1	aac_6___Ib.NG_067955.1	aac_6___Ib.NG_067956.1	aac_6___Ib.NG_067957.1	aac_6___Ib.NG_067958.1	aac_6___Ib.NG_067959.1	aac_6___Ib.NG_067960.1	aac_6___Ib.NG_067961.1	aac_6___Ib.NG_067962.1	aac_6___Ib.NG_067963.1	aac_6___Ib.NG_067964.1	aac_6___Ib.NG_067965.1	aac_6___Ib.NG_067966.1	aac_6___Ib11.NG_048578.1	aac_6___Ib11.NG_052506.1	aac_6___Ib3.NG_051438.1	aac_6___Ib4.NG_051844.1	aac_6___Ib_.NG_051695.1	aac_6___Ib_cr.NG_052213.1	aac_6___Ib_cr10.NG_067968.1	aac_6___Ib_cr11.NG_067969.1	aac_6___Ib_cr3.NG_052123.1	aac_6___Ib_cr4.NG_052463.1	aac_6___Ib_cr5.NG_051711.1	aac_6___Ib_cr6.NG_047292.1	aac_6___Ib_cr7.NG_052086.1	aac_6___Ib_cr8.NG_067970.1	aac_6___Ib_cr9.NG_067971.1	aadA11.NG_047330.1	aadA11.NG_047332.1	aadA6.NG_047359.1	aadA6.NG_047360.1	aadA6.NG_047361.1	aadA6.NG_052151.1	aadA6.NG_052355.1	aadA6.NG_052356.1	aadA6.NG_052483.1	ant_3____Ia.NG_052306.1	ant_3____Ih_aac_6___IId.NG_047218.1	ant_3____Ij_aac_6___Ib.NG_047214.1
aac_6___Id	aac_6___Id.NG_055007.1
aac_6___Ie_aph_2___	aac_6___Ie_aph_2___.NG_062248.1
aac_6___Ie_aph_2____Ia	aac_6___Ie_aph_2____Ia.NG_047055.1	aac_6___Ie_aph_2____Ia.NG_047212.1	aac_6___Ie_aph_2____Ia.NG_047217.1
aac_6___Ie_aph_2____If2+	aac_6___Ie_aph_2____If2.NG_062220.1	aph_2____If.NG_047405.1
aac_6___If	aac_6___If.NG_047295.2	aac_6___If.NG_052054.1
aac_6___Il	aac_6___Il.NG_047303.1	aac_6___Il.NG_047304.1	aac_6___Il.NG_047305.1	aac_6___Il.NG_052392.1
aac_6___Im	aac_6___Im.NG_047306.1	aac_6___Im.NG_052222.1	aac_6___Im.NG_052530.1
aac_6___Isa	aac_6___Isa.NG_047311.1
aac_6___Iz	aac_6___Iz.NG_047317.1	aac_6___Iz.NG_052343.1	aac_6___Iz.NG_052348.1	aac_6___Iz.NG_052377.1	aac_6___Iz.NG_052390.1	aac_6___Iz.NG_054659.1
aac_6___kana	aac_6___kana.NG_052084.1
aad9	aad9.NG_047322.1
aadA-	aadA13.NG_047334.1	aadA13.NG_047335.1	aadA13.NG_052310.1	aadA8.NG_052408.1
aadA-_1	aadA4.NG_047355.1	aadA4.NG_047356.1	aadA4.NG_052359.1	aadA5.NG_047357.1	aadA5.NG_047358.1	aadA5.NG_051886.1	aadA5.NG_051894.1	aadA5.NG_051903.1	aadA5.NG_052148.1	aadA5.NG_052154.1	aadA5.NG_052253.1	aadA5.NG_052277.1	aadA5.NG_052296.1	aadA5.NG_052333.1	aadA5.NG_052334.1	aadA5.NG_052362.1	aadA5.NG_052436.1	aadA5.NG_052474.1	aadA5.NG_052475.1	aadA5.NG_052476.1	aadA5.NG_052513.1	aadA5.NG_052515.1	aadA5.NG_064656.1	aadA5.NG_065409.1
aadA1+	aadA1.NG_047324.1	aadA1.NG_047325.1	aadA1.NG_047326.1	aadA1.NG_047327.1	aadA1.NG_047328.1	aadA1.NG_052028.1	aadA1.NG_052030.1	aadA1.NG_052136.1	aadA1.NG_052145.1	aadA1.NG_052146.1	aadA1.NG_052179.1	aadA1.NG_052227.1	aadA1.NG_052230.1	aadA1.NG_052233.1	aadA1.NG_052234.1	aadA1.NG_052238.1	aadA1.NG_052239.1	aadA1.NG_052245.1	aadA1.NG_052247.1	aadA1.NG_052250.1	aadA1.NG_052252.1	aadA1.NG_052257.1	aadA1.NG_052266.1	aadA1.NG_052271.1	aadA1.NG_052276.1	aadA1.NG_052278.1	aadA1.NG_052279.1	aadA1.NG_052287.1	aadA1.NG_052311.1	aadA1.NG_052312.1	aadA1.NG_052313.1	aadA1.NG_052314.1	aadA1.NG_052318.1	aadA1.NG_052320.1	aadA1.NG_052322.1	aadA1.NG_052335.1	aadA1.NG_052344.1	aadA1.NG_052354.1	aadA1.NG_052368.1	aadA1.NG_052385.1	aadA1.NG_052431.1	aadA1.NG_052434.1	aadA1.NG_052435.1	aadA1.NG_052439.1	aadA1.NG_052440.1	aadA1.NG_052454.1	aadA1.NG_052473.1	aadA1.NG_052477.1	aadA1.NG_052486.1	aadA1.NG_052501.1	aadA1.NG_052502.1	aadA1.NG_052536.1	aadA1.NG_065405.1	aadA11.NG_047331.1	aadA11.NG_051873.1	aadA11.NG_052308.1	aadA12.NG_047333.1	aadA12.NG_052309.1	aadA15.NG_047338.1	aadA15.NG_051891.1	aadA15.NG_052144.1	aadA17.NG_047341.1	aadA1bt.NG_052031.1	aadA1bt.NG_052032.1	aadA21.NG_047344.1	aadA21.NG_047345.1	aadA22.NG_047346.1	aadA22.NG_047348.1	aadA22.NG_052404.1	aadA25.NG_052317.1	aadA25.NG_052538.1	aadA8.NG_047366.1	aadA8.NG_047367.1	aadA8.NG_048579.1	aadA8.NG_052405.1	aadA8.NG_052406.1	aadA8.NG_052407.1	ant_3____Ia.NG_052305.1
aadA10	aadA10.NG_047329.1	aadA10.NG_051878.1	aadA10.NG_052302.1	aadA10.NG_052307.1	aadA10.NG_052411.1
aadA14	aadA14.NG_047337.1
aadA2+	aadA2.NG_047343.1	aadA2.NG_051846.1	aadA2.NG_051848.1	aadA2.NG_051906.1	aadA2.NG_052038.1	aadA2.NG_052041.1	aadA2.NG_052156.1	aadA2.NG_052228.1	aadA2.NG_052232.1	aadA2.NG_052241.1	aadA2.NG_052243.1	aadA2.NG_052244.1	aadA2.NG_052246.1	aadA2.NG_052248.1	aadA2.NG_052249.1	aadA2.NG_052269.1	aadA2.NG_052273.1	aadA2.NG_052316.1	aadA2.NG_052319.1	aadA2.NG_052324.1	aadA2.NG_052375.1	aadA2.NG_052376.1	aadA2.NG_052402.1	aadA2.NG_052430.1	aadA2.NG_052442.1	aadA2.NG_052487.1	aadA2.NG_052494.1	aadA2.NG_052496.1	aadA2.NG_052497.1	aadA2.NG_052521.1	aadA2.NG_052537.1	aadA2.NG_064655.1	aadA2.NG_065406.1	aadA2.NG_065407.1	aadA2.NG_065408.1	aadA25.NG_047352.1	aadA3.NG_047353.1	aadA3.NG_047354.1	aadA3.NG_052325.1	aadA3.NG_052443.1	aadA3.NG_052490.1	ant_3____Ia.NG_052304.1
aadA27+	aadA27.NG_054660.1	ant_3____IIc.NG_054654.1
aadA31	aadA31.NG_057462.1	aadA31.NG_059333.1
aadA6	aadA6.NG_052539.1
aadA7	aadA7.NG_047362.1	aadA7.NG_047363.1	aadA7.NG_047364.1	aadA7.NG_047365.1	aadA7.NG_051845.1	aadA7.NG_052410.1
aadA9	aadA9.NG_047368.1	aadA9.NG_047369.1	aadA9.NG_047370.1	aadA9.NG_052412.1	aadA9.NG_052441.1
aadD1	aadD1.NG_047372.1	aadD1.NG_047373.1	aadD1.NG_047374.1	aadD1.NG_047375.1	aadD1.NG_047376.1	aadD1.NG_056101.1
aadD2	aadD2.NG_047392.1
aadE	aadE.NG_047378.1
aadE_Cc	aadE_Cc.NG_054665.1
aadK	aadK.NG_047379.1
aadS	aadS.NG_047380.1
ampC	ampC.NG_047492.1
ampC_1	ampC.NG_047381.1
ampC_2	ampC.NG_047383.1
ampC_3	ampC.NG_051160.1
ampC_4	ampC.NG_047385.1
