16S_rrsB	16S_rrsB.1
16S_rrsC	16S_rrsC.1
16S_rrsH	16S_rrsH.1
23S	23S.1
ampC_promoter	ampC_promoter.1
folP	folP.1
gyrA	gyrA.1
gyrB	gyrB.1
parC	parC.1
parE	parE.1
pmrA	pmrA.1
pmrB	pmrB.1
rpoB	rpoB.1
