16S_rRNA	16S_rRNA.1
23S_rRNA_a1	23S_rRNA_a1.1
23S_rRNA_a2	23S_rRNA_a2.1
23S_rRNA_a3	23S_rRNA_a3.1
23S_rRNA_a4	23S_rRNA_a4.1
gyrA	gyrA.1
macAB_promoter	macAB_promoter.1
mtrC_promoter	mtrC_promoter.1
mtrR	mtrR.1
parC	parC.1
penA	penA.1
pilQ	pilQ.1
ponA	ponA.1
porB	porB.1
rpsE	rpsE.1
rpsJ	rpsJ.1
